target,sampwt,trainFlg,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,Date_Opened
0,49.45863256,1,43,H,6,2916,f,F,2,N,82.5,647,607,-99000784,34,0,43,18,2,0,Tue Jul 18 15:00:00 CST 2006
0,28.34083432,1,38,H,1,4100,b,_,3,N,61.30000305,761,1508,18,12,0,100,-99000576,4,0,Mon May 21 15:00:00 CST 2007
0,50.07320039,1,27,R,1,1120,y,N,2,N,93.5,735,801,-99000784,72,0,100,-99000576,0,-99000672,Thu May 10 15:00:00 CST 2007
0,28.34083432,1,35,H,6,4200,g,_,3,N,92.80000019,636,608,-99000784,37,1,67,68,11,0,Mon Jan 22 16:00:00 CST 2007
0,28.34083432,2,47,H,8,8000,w,_,0,N,85.60000038,669,1005,-99000784,71,0,91,26,7,0,Wed Jan 17 16:00:00 CST 2007
0,28.34083432,1,25,R,0,2600,e,F,2,N,89.5,587,306,-99000784,87,0,83,-99000712,8,0,Sat Oct 07 15:00:00 CST 2006
0,28.34083432,1,48,H,10,5067,b,N,3,N,83.90000916,679,1901,-99000784,61,0,95,26,1,0,Sat Feb 10 16:00:00 CST 2007
0,39.74388579,1,19,P,15,1100,f,_,1,N,92.60000038,0,3,-99000784,-99000672,0,-99000712,-99000576,2,1,Fri Aug 18 15:00:00 CST 2006
0,19.07271643,1,20,R,12,525,w,N,2,N,91.30000019,490,100,1,97,0,67,2,8,0,Sun May 06 15:00:00 CST 2007
0,28.34083432,1,23,P,14,1000,b,N,3,N,84,599,205,6,88,0,88,12,3,0,Wed Aug 09 15:00:00 CST 2006
0,28.34083432,2,19,P,19,940,b,N,3,N,90.60000038,690,106,-99000784,-99000672,0,100,-99000576,1,1,Mon Nov 06 16:00:00 CST 2006
0,28.34083432,1,42,H,3,4667,g,N,3,N,84.90000057,761,1307,5,-99000576,0,80,71,0,-99000672,Wed Sep 06 15:00:00 CST 2006
0,28.34083432,1,33,R,8,2144,u,F,3,N,64,795,1007,-99000784,5,0,100,-99000576,0,-99000672,Thu Mar 08 16:00:00 CST 2007
0,28.34083432,1,42,H,0,4021,y,F,3,N,79.80000305,730,2200,2,63,0,94,-99000576,2,1,Wed Apr 18 15:00:00 CST 2007
0,28.34083432,1,53,H,9,1700,b,F,2,N,92.20000076,704,1403,16,49,0,93,57,2,0,Mon Apr 23 15:00:00 CST 2007
0,28.34083432,2,30,R,0,2833,p,F,2,N,90.80000019,733,801,10,-99000712,0,100,-99000576,2,0,Mon Nov 06 16:00:00 CST 2006
0,28.34083432,1,22,P,4,1100,f,N,3,N,46.30000305,767,101,-99000784,0,0,100,-99000576,0,-99000672,Thu Apr 05 15:00:00 CST 2007
0,50.18103036,1,33,R,0,1800,u,N,2,N,47.40000916,671,209,-99000784,40,0,100,-99000576,7,0,Mon Aug 28 15:00:00 CST 2006
0,28.34083432,2,25,R,0,2917,k,N,3,N,94.60000038,719,1208,-99000784,89,0,100,-99000576,3,0,Wed Dec 27 16:00:00 CST 2006
0,45.35233721,1,35,H,3,4700,s,N,2,N,98.30000019,644,705,33,85,0,94,25,4,0,Tue Jul 04 15:00:00 CST 2006
0,28.34083432,1,46,H,7,3500,b,N,3,N,89.5,646,2101,-99000784,6,0,92,1,1,0,Wed Jan 17 16:00:00 CST 2007
0,28.34083432,1,32,Q,1,4041,g,N,3,N,64.20001221,771,709,4,1,0,100,-99000576,1,0,Mon Apr 09 15:00:00 CST 2007
0,28.34083432,1,37,H,1,3400,k,F,0,N,50.40000916,757,1504,3,36,0,100,-99000576,3,0,Sun Jul 16 15:00:00 CST 2006
0,33.35914978,1,43,H,21,2500,f,_,3,N,85.60000038,562,2702,6,-99000672,0,67,2,9,0,Wed May 09 15:00:00 CST 2007
0,47.54043692,1,23,R,0,2960,e,N,3,N,94,636,303,60,0,1,75,16,10,0,Mon Jul 10 15:00:00 CST 2006
0,28.34083432,1,24,H,1,2200,w,N,0,N,90.5,624,300,4,1,1,67,10,5,0,Tue Aug 01 15:00:00 CST 2006
0,28.34083432,1,25,H,25,1061,w,N,3,N,88.5,658,208,-99000784,-99000672,0,100,-99000576,7,0,Tue Oct 10 15:00:00 CST 2006
0,22.44243232,1,20,P,0,1400,w,F,3,N,88.20000076,474,406,-99000784,86,3,0,2,5,0,Thu Jun 21 15:00:00 CST 2007
0,28.34083432,1,29,H,3,3200,r,N,2,N,59.30000305,764,701,25,0,0,100,-99000576,4,0,Thu Jan 18 16:00:00 CST 2007
0,28.34083432,2,27,H,4,3015,p,N,3,N,49.30000305,766,503,25,0,0,100,-99000576,1,1,Sat May 19 15:00:00 CST 2007
0,49.20205343,1,36,P,2,1150,b,N,3,N,80.90000916,629,107,-99000784,76,0,100,-99000576,13,0,Tue Feb 13 16:00:00 CST 2007
0,28.34083432,1,20,R,0,1479,r,N,3,N,48.70001221,667,202,2,-99000672,0,100,-99000576,2,0,Thu Jan 11 16:00:00 CST 2007
0,28.34083432,1,62,H,2,8552,r,N,3,N,72.80000305,710,1506,-99000784,43,0,100,-99000576,2,0,Wed Sep 13 15:00:00 CST 2006
0,28.34083432,2,26,R,0,3400,p,F,3,N,91.60000038,660,406,16,90,0,100,-99000576,5,0,Wed Jul 26 15:00:00 CST 2006
0,28.34083432,1,27,H,4,3700,b,N,3,N,83.30000305,783,803,9,1,0,100,-99000576,2,0,Sun May 06 15:00:00 CST 2007
0,28.34083432,1,53,Q,26,1750,e,N,3,N,94.10000038,713,1903,-99000784,73,0,100,-99000576,3,0,Fri Oct 27 15:00:00 CST 2006
0,28.34083432,1,24,R,2,2500,y,N,2,N,78.30000305,744,401,2,24,0,100,-99000576,3,0,Mon Jul 17 15:00:00 CST 2006
0,28.34083432,1,54,H,1,10000,p,_,0,N,85,774,1611,70,11,0,100,-99000576,0,-99000672,Fri Jun 22 15:00:00 CST 2007
0,28.34083432,1,59,H,21,2958,h,F,2,N,91.80000019,718,2104,2,13,0,81,2,0,-99000672,Sun Dec 17 16:00:00 CST 2006
0,28.34083432,1,38,R,0,1833,y,N,3,N,79.40000916,727,1202,44,33,0,82,39,2,0,Fri Dec 22 16:00:00 CST 2006
0,28.34083432,1,69,H,6,2166,e,N,3,N,24.20001221,813,1611,15,4,0,100,-99000576,0,-99000672,Sat Sep 09 15:00:00 CST 2006
0,49.7505254,1,31,H,1,4000,f,B,3,N,96.40000057,693,608,-99000784,21,0,92,-99000712,3,0,Mon May 07 15:00:00 CST 2007
0,28.34083432,2,36,H,3,3491,b,N,0,N,100,744,1607,10,25,0,100,-99000576,3,0,Sun Jan 21 16:00:00 CST 2007
0,49.10322092,1,49,R,4,1600,y,_,3,N,91.30000019,0,403,9,-99000672,0,-99000712,-99000576,1,0,Sat Jun 02 15:00:00 CST 2007
0,28.34083432,2,38,H,0,1600,h,N,3,N,75.70001221,684,1101,-99000784,78,0,100,-99000576,5,0,Tue Jul 25 15:00:00 CST 2006
0,48.97387704,1,25,M,0,1373,f,N,0,N,63,663,106,14,-99000672,0,100,-99000576,1,0,Sat Apr 14 15:00:00 CST 2007
0,45.35056428,2,21,P,10,1200,f,_,3,N,89.30000019,0,0,-99000784,-99000672,0,-99000712,-99000576,1,0,Sun Jul 02 15:00:00 CST 2006
0,28.34083432,1,62,Q,30,2083,e,_,3,N,72.6000061,651,2008,-99000784,87,0,90,64,3,0,Tue Nov 14 16:00:00 CST 2006
0,28.34083432,1,25,H,3,2638,g,F,2,N,79.20001221,682,508,1,91,0,92,-99000576,2,0,Mon Mar 26 15:00:00 CST 2007
0,28.34083432,1,29,H,6,2000,p,F,3,N,86,699,509,12,100,0,100,-99000576,2,0,Tue Jun 26 15:00:00 CST 2007
0,28.34083432,1,72,Q,52,13300,g,N,2,N,78.80000305,699,305,24,-99000672,0,100,-99000576,0,-99000672,Wed Jun 20 15:00:00 CST 2007
0,49.26761734,1,23,Q,1,1767,f,_,3,N,93.80000019,641,202,-99000784,64,0,100,-99000576,5,0,Sun Jun 17 15:00:00 CST 2007
0,28.34083432,1,42,H,3,6316,f,_,3,N,77.40000916,656,1603,-99000784,32,1,95,30,2,0,Thu Jun 28 15:00:00 CST 2007
0,28.34083432,1,38,H,10,1600,f,F,3,N,85.40000057,764,1300,1,0,0,90,-99000576,4,0,Sun Dec 10 16:00:00 CST 2006
0,28.34083432,1,41,H,2,1891,g,F,3,N,76.70001221,718,304,28,38,0,100,-99000576,2,0,Sat Jun 09 15:00:00 CST 2007
0,28.34083432,1,37,H,10,3000,p,_,3,N,72.6000061,786,611,13,0,0,100,-99000576,1,1,Wed Jan 24 16:00:00 CST 2007
0,28.34083432,1,32,H,10,2300,h,F,3,N,79.30000305,705,1003,-99000784,62,0,100,-99000576,3,0,Sat Jun 23 15:00:00 CST 2007
